title,type,question,A,B,C,D,E,F,G,answer,image
Classification,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,B,hiv.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,B,virus.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,E,yeast.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,E,mucor.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,D,paramecium.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,D,amoeba.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,C,euglena.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,C,spirogyra.png
,radio,它属于,Bacteria / Bakteria,Virus,Algae / Alga,Protozoa,Fungi / Kulat,,,C,chlamydomonas.png
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
